#       time       r2               zero avg          zero var
         0.0 -0.5747298567328507 0.07176018370607029          0.0
         0.1 -0.5747298567328507 0.07176018370607029          0.0
         0.2 -0.5747298567328507 0.07176018370607029          0.0
  0.30000000 -0.5747298567328507 0.07176018370607029          0.0
         0.4 -0.5747298567328507 0.07176018370607029          0.0
         0.5 -0.5762545957986338 0.07176018370607029          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
                      0.0          0.0          0.0
